dataset,method,prevalence,auroc,average_precision,best_f1,otsu_f1
benton,raw_l2,0.24496296296296297,0.9791057075148883,0.9627938837296807,0.9099692111689139,0.8881079825615762
benton,spectral_angle,0.24496296296296297,0.7603489869587123,0.4450411658882458,0.5607183580387685,0.5350682652293406
benton,pca_diff,0.24496296296296297,0.9804157725194477,0.9695173902917746,0.9266659692436446,0.8974302121502746
benton,smoothed_pca_sigma1,0.24496296296296297,0.9894528493928682,0.9784544195555678,0.9315565695323031,0.8957733962416887
benton,ir_mad,0.24496296296296297,0.9575547442869896,0.9182693011438073,0.8522720793659844,0.7957080456412191
benton,band_image_ds,0.24496296296296297,0.7803212763677487,0.6162279517387917,0.5621118012422359,0.5612434979941885
benton,band_image_cross_reconstruction,0.24496296296296297,0.9192439560272647,0.7279416658567736,0.7534027221777423,0.7291358704575148
benton,band_image_spatial_gram,0.24496296296296297,0.897441934913799,0.7260929195712774,0.8276164864716536,0.8151147049175932
benton,band_image_projector_distance,0.24496296296296297,0.8392583416248246,0.5422846349520296,0.6182056825200741,0.6168563495292655
hermiston,raw_l2,0.128025641025641,0.7258774732062179,0.19312415151083945,0.38049219013372293,0.3122976824013997
hermiston,spectral_angle,0.128025641025641,0.3412135062425238,0.10217862494189867,0.2309928208720014,0.11187425646096236
hermiston,pca_diff,0.128025641025641,0.6982172798261849,0.19643316959579737,0.3489797234824865,0.2796334215723358
hermiston,smoothed_pca_sigma1,0.128025641025641,0.7156680643223092,0.21939559284684026,0.3500516366575367,0.28333833840567135
hermiston,ir_mad,0.128025641025641,0.7850844668583006,0.22975550553142657,0.4816880023037252,0.22130227405259753
hermiston,band_image_ds,0.128025641025641,0.8251085549527919,0.3707307720699049,0.4517227007502084,0.44549467888446864
hermiston,band_image_cross_reconstruction,0.128025641025641,0.8106435970396194,0.3574445593959181,0.40142095914742454,0.39873831636072987
hermiston,band_image_spatial_gram,0.128025641025641,0.7212102677862573,0.21561456339259805,0.37681903445552367,0.30662334041793315
hermiston,band_image_projector_distance,0.128025641025641,0.7458456615631455,0.23286612040859456,0.35599219494486545,0.3341592878792121
farmland,raw_l2,0.6873639455782313,0.06835944251423162,0.4818978424941905,0.8147192517411331,0.1005953489650986
farmland,spectral_angle,0.6873639455782313,0.4003267978056714,0.5933940708336312,0.8147662778858659,0.464635104939454
farmland,pca_diff,0.6873639455782313,0.06618162472306281,0.4814177438878895,0.8147192517411331,0.09847501777958784
farmland,smoothed_pca_sigma1,0.6873639455782313,0.053353398878487994,0.47843725240478924,0.8147192517411331,0.09037618192784896
farmland,ir_mad,0.6873639455782313,0.35110442386421614,0.6240467027422804,0.8147192517411331,0.006362672257477788
farmland,band_image_ds,0.6873639455782313,0.36274918684136037,0.5988275606711793,0.8147192517411331,0.3525543709745233
farmland,band_image_cross_reconstruction,0.6873639455782313,0.10917365408121557,0.492581484286398,0.8147192517411331,0.17376705398365438
farmland,band_image_spatial_gram,0.6873639455782313,0.04487225798074601,0.47711708387111795,0.8147192517411331,0.13450720998315704
farmland,band_image_projector_distance,0.6873639455782313,0.3954312709521274,0.6549747451945874,0.8147192517411331,0.3905122706679651
shenzhen,raw_l2,0.05700521878763549,0.7017307001747488,0.11178196854677706,0.22928176795580107,0.0
shenzhen,spectral_angle,0.05700521878763549,0.1481568089774159,0.0317329624506896,0.10791640278657377,0.012642739033414013
shenzhen,pca_diff,0.05700521878763549,0.8731188512276059,0.26266969254733713,0.3866432337434095,0.0
shenzhen,smoothed_pca_sigma1,0.05700521878763549,0.8804738939288252,0.25842897920806496,0.40260950605778195,0.0
shenzhen,ir_mad,0.05700521878763549,0.7207645380346979,0.09149014225940927,0.19183445190156595,0.013223136328831311
shenzhen,band_image_ds,0.05700521878763549,0.7817517659763985,0.13859915589962368,0.24851367419738404,0.008695650804537077
shenzhen,band_image_cross_reconstruction,0.05700521878763549,0.849885843608075,0.19965103171891094,0.3182686187141948,0.004587155514897779
shenzhen,band_image_spatial_gram,0.05700521878763549,0.9104876646473611,0.36383058098206483,0.47916666666666663,0.0
shenzhen,band_image_projector_distance,0.05700521878763549,0.7119125043054314,0.09689109548626211,0.19219471254720938,0.039215682042163726
